"","n","nevent","coef","se","hazard_ratio","hr_confint_lower","hr_confint_upper","p_value","p_adjusted"
"Dendritic_cells_M1_med_dist",28,24,-0.3061126,0.2202308,0.736303737536455,0.478185260831099,1.13375136859696,0.164540308504314,0.8064303638618
"Tumor_assort",77,61,0.1784216,0.1304672,1.19532915081106,0.925621920157512,1.54362353317599,0.17145016471337,0.8064303638618
"CD56+CD45-_assort",77,61,0.1699703,0.1317044,1.18526960221667,0.915609301158205,1.53434879720179,0.196861857608486,0.8064303638618
"Tumor_M1_contact",77,61,0.164142,0.1281628,1.17838168465146,0.916629121501165,1.51488029580375,0.200288076998533,0.8064303638618
"ATF6",77,61,0.1633296,0.1277858,1.17742466338085,0.916561653931383,1.51253200697539,0.201196038938063,0.8064303638618
"Other_immune_region",77,61,0.1736556,0.1359632,1.1896457851159,0.91135087923661,1.55292228963394,0.201522684025701,0.8064303638618
"Tumor_vascular_med_dist",76,60,0.1455863,0.1140946,1.15671758875292,0.924932063535406,1.44658795265037,0.201950524103282,0.8064303638618
"Non-leukocyte_derived_neural_cells_vascular_contact",77,61,-0.2125742,0.1668007,0.808500331588842,0.583041159612367,1.12114346543537,0.202514437943611,0.8064303638618
"CD163+_cells_tumor_contact",77,61,-0.1727272,0.1369976,0.841367103078077,0.643239929551896,1.10052030295312,0.207379106761989,0.8064303638618
"CD11b+_epithelial_region",77,61,0.2338216,0.1854703,1.26341908880564,0.878364533740552,1.81727259314633,0.207418612785402,0.8064303638618
"CD11b+_epithelial_tumor_med_dist",58,44,0.2113693,0.1692049,1.23536851500985,0.886684461843223,1.72117075865427,0.211594918604744,0.8064303638618
"M1_macrophages_tumor_med_dist",76,60,0.143488,0.1153005,1.15429291115643,0.920814328815361,1.446971537096,0.213326791554138,0.8064303638618
"Neuroepithelial_cells_region",77,61,-0.2495387,0.2047631,0.779160121547612,0.521593309757365,1.16391541772746,0.222969458376885,0.8064303638618
"CD8+_T_cells_region",77,61,0.1497702,0.1234399,1.16156729786712,0.911952288999004,1.4795056756262,0.22501345553732,0.8064303638618
"CD163+_cells_prop",77,61,-0.1885979,0.1563598,0.828119404152093,0.609535873332285,1.12508841158782,0.227748386393847,0.8064303638618
"M1_macrophages_tumor_contact",77,61,0.1415022,0.11736,1.15200306406852,0.915285592409421,1.44994204063644,0.227928987386892,0.8064303638618
"HLADR+_region",77,61,0.1519912,0.1271076,1.1641500273534,0.907433426010649,1.49349279775266,0.231786991922266,0.8064303638618
"Fibroblast_region",77,61,0.1565644,0.1316892,1.169486094174,0.903443493397885,1.51387190727602,0.234481702972085,0.8064303638618
"Neuroepithelial_cells_tumor_med_dist",51,38,-0.1998003,0.1690138,0.818894303165711,0.587980659883231,1.14049309018162,0.237144793349986,0.8064303638618
"M1_macrophages_region",77,61,-0.177095,0.1498613,0.83770019193473,0.624491430379732,1.12370094677004,0.237314261291951,0.8064303638618
"Neutrophils_region",77,61,-0.2503257,0.2125665,0.778547183418405,0.513272487214803,1.1809238404689,0.238942330033126,0.8064303638618
"NK/NKT_vascular_med_dist",56,46,0.1780517,0.1532473,1.19488711353065,0.884876310929793,1.6135082343671,0.245292741287622,0.809102746076862
"H3K14Ace",77,61,-0.1441263,0.1245567,0.865778372945387,0.678240703726445,1.1051713454259,0.247225839079041,0.809102746076862
"CD8+_T_cells_tumor_contact",77,61,-0.1469319,0.1281016,0.863352762177681,0.671657699663869,1.10975872432171,0.251383665840442,0.810430922709485
"Other_immune_assort",77,61,0.1373335,0.1221432,1.14721065160698,0.902972883322485,1.45751030121519,0.260858350695477,0.828608878679751
"Neuroepithelial_cells_M1_med_dist",51,38,-0.1790465,0.1645235,0.83606701217993,0.605617540839921,1.15420707248015,0.276474482221666,0.84580415719569
"Unidentified_vascular_med_dist",76,60,-0.1477075,0.1363399,0.862683405196634,0.660387277042891,1.12694881242136,0.278641183600475,0.84580415719569
"CBX2",77,61,-0.1521738,0.1411679,0.85883903600588,0.651252514949408,1.13259369113501,0.281050422069077,0.84580415719569
"M1_macrophages_vascular_med_dist",75,59,0.1337074,0.1242653,1.14305833662384,0.895970178165347,1.45828777873021,0.28193471906523,0.84580415719569
"Non-leukocyte_derived_neural_cells_prop",77,61,0.1842025,0.1728422,1.20225931094174,0.856790380951682,1.68702576835725,0.286547273250136,0.846210378080525
"CD11c+_epithelial_M1_contact",77,61,-0.1458456,0.1378075,0.864291100324143,0.659717681432784,1.13230117537122,0.289905407305365,0.846210378080525
"Unidentified_prop",77,61,0.1272125,0.1239053,1.13565834494533,0.890798134554563,1.44782507553059,0.304565806493267,0.860122016002495
"B_cells_assort",77,61,0.1519958,0.1500978,1.16415529212511,0.86745592346079,1.56233591532349,0.311229943681066,0.860122016002495
"CD11b_low_Neutrophils_M1_contact",77,61,-0.1343696,0.1361472,0.874266837842701,0.66950729431288,1.14164925497328,0.323670099255018,0.860122016002495
"M2_macrophages_prop",77,61,-0.1429165,0.1455613,0.86682644723129,0.651673572506201,1.15301298275752,0.326183605531388,0.860122016002495
"CD11b_low_Neutrophils_tumor_med_dist",71,56,0.139064,0.1423322,1.14919764222745,0.869443448953634,1.51896621049997,0.328550235089589,0.860122016002495
"Dendritic_cells_tumor_med_dist",29,25,-0.1859207,0.1903507,0.830339405525999,0.571779850981596,1.20581990985804,0.32870411533232,0.860122016002495
"DUSP1",77,61,-0.1255946,0.1297697,0.881972314749446,0.683903436013703,1.13740496541227,0.333130795214405,0.860122016002495
"Fibroblast_prop",77,61,0.1295178,0.1345368,1.13827935034958,0.874441888673799,1.48172210894119,0.335700952050062,0.860122016002495
"CD11c+_epithelial_tumor_contact",77,61,-0.1343513,0.1408961,0.874282915662099,0.663316794153729,1.1523462444424,0.340312360233697,0.860122016002495
"HLADR+_M1_contact",77,61,-0.1437574,0.151022,0.866097869103019,0.644194146991231,1.16444013403152,0.341149439613882,0.860122016002495
"Other_immune_vascular_med_dist",64,53,0.1265728,0.133485,1.13493210033995,0.873669559238634,1.4743227101841,0.343018851546813,0.860122016002495
"Monocytes_tumor_contact",77,61,0.1022468,0.1091775,1.10765678816045,0.89427924725599,1.37194680981646,0.349006154874497,0.860122016002495
"Other_immune_tumor_med_dist",64,53,0.1248056,0.1334001,1.13292820486027,0.872272092686709,1.47147470167766,0.349492938423761,0.860122016002495
"CD163+_cells_region",77,61,-0.1222603,0.1309312,0.884918009047467,0.684627226090523,1.14380476395631,0.350420080593609,0.860122016002495
"CD163+_cells_M1_med_dist",75,59,0.1292739,0.1442214,1.13800173191143,0.857790908515329,1.5097478056452,0.370062162056079,0.895341633586255
"CD4+_T_cells_M1_contact",77,61,-0.1211612,0.1360204,0.885891112810534,0.678577717847923,1.15654116413615,0.373059013994273,0.895341633586255
"CD4+_T_cells_region",77,61,-0.1404786,0.1646208,0.868942262973263,0.629311172450859,1.1998208349623,0.393467134739183,0.933943968172127
"M2_macrophages_M1_contact",77,61,-0.1155692,0.1372164,0.890858915611608,0.680785286990379,1.16575610943822,0.399653184668006,0.938316172698797
"CD56+CD45-_M1_med_dist",40,30,-0.1541183,0.1851167,0.857170608887133,0.596342289269406,1.23208007542126,0.405100539158169,0.939701085155907
"CD11b_low_Neutrophils_prop",77,61,0.1278864,0.1548724,1.13642394012601,0.838904881670808,1.53945864413065,0.408943990762293,0.939701085155907
"CD4+_T_cells_prop",77,61,-0.1140866,0.1407112,0.892180709420782,0.677141237910484,1.17551017970611,0.417488858698815,0.943108096416062
"Monocytes_region",77,61,0.1130239,0.1402003,1.11965873437092,0.850642209892667,1.47375202743733,0.420150460556288,0.943108096416062
"Tumor_region",77,61,0.103695,0.1327472,1.10926208669379,0.85514451480154,1.43889407658987,0.434716486627297,0.943108096416062
