"","n","nevent","coef","se","hazard_ratio","hr_confint_lower","hr_confint_upper","p_value","p_adjusted"
"CD11c_low_immune_tumor_med_dist",37,29,0.2212597,0.1652493,1.24764744413046,0.902467103270011,1.72485416831813,0.18058869068717,0.627260048356649
"NK/NKT_prop",69,54,-0.2405508,0.1804275,0.786194701674482,0.552013825138504,1.11972215331009,0.18245731429424,0.627260048356649
"Vascular_endothelial_cells_assort",69,54,0.2081755,0.1561583,1.23142927377761,0.906749459402936,1.67236720197766,0.182497089767684,0.627260048356649
"CD11c+_epithelial_vascular_contact",69,54,0.1661026,0.1252124,1.18069421854955,0.923754165212345,1.5091015447772,0.18465225464445,0.627260048356649
"Neuroepithelial_cells_assort",69,54,0.1759394,0.1339834,1.19236584854827,0.916985895524287,1.55044513086144,0.189134556105754,0.627260048356649
"CD56+CD45-_vascular_contact",69,54,-0.1680298,0.128491,0.845328644227569,0.657133885232863,1.08741998063058,0.190969431050736,0.627260048356649
"CD11b+_epithelial_tumor_contact",69,54,-0.1917088,0.1473495,0.825547196011758,0.61846872880843,1.10196060220529,0.193241996578494,0.627260048356649
"M1_macrophages_prop",69,54,-0.2189209,0.1685279,0.803385231505688,0.577394528224898,1.11782810305755,0.193937329048271,0.627260048356649
"B_cells_prop",69,54,-0.296609,0.2283804,0.743334564545894,0.475101694467215,1.16300632324258,0.19402973389671,0.627260048356649
"CD8+_T_cells_M1_med_dist",62,48,0.1816742,0.1407326,1.19922337813185,0.910140117187931,1.58012671180936,0.196732403713258,0.627260048356649
"CD4+_T_cells_assort",69,54,-0.183563,0.1440377,0.832299462698139,0.627587814377262,1.10378560535784,0.202518426515092,0.627260048356649
"CD11b+_epithelial_vascular_contact",69,54,0.1670021,0.1312264,1.18175680439479,0.913751289710238,1.5283689998142,0.203150711241485,0.627260048356649
"Dendritic_cells_M1_contact",69,54,0.1531363,0.1203651,1.16548385719895,0.920558401807666,1.47557462809965,0.20327871937484,0.627260048356649
"CD163+_cells_prop",69,54,-0.2620657,0.2091362,0.769460470445884,0.510704045370952,1.15932000332746,0.210174214316811,0.639403243555369
"Monocytes_vascular_med_dist",53,41,0.1610356,0.1325354,1.17472677383782,0.905988216851767,1.52317984660632,0.224351403429966,0.673054210289898
"Tumor_region",69,54,0.1634014,0.1372505,1.17750921392669,0.899780207091792,1.54096293511911,0.233836782328966,0.691900616206256
"CD11c+_epithelial_M1_contact",69,54,0.1581095,0.1364481,1.17129449623492,0.896440113246756,1.53042102493753,0.246557131388377,0.711239709042308
"Vascular_endothelial_cells_M1_med_dist",67,53,0.1459317,0.1260456,1.15711713144966,0.903830805459457,1.4813835153734,0.246958232306357,0.711239709042308
