"","n","nevent","coef","se","hazard_ratio","hr_confint_lower","hr_confint_upper","p_value","p_adjusted"
"Other_immune_assort",77,60,-0.0568723,0.1384289,0.944714702958474,0.720227599312762,1.23917199346085,0.681189018140606,0.957210457906258
"M2_macrophages_prop",77,60,0.05031444,0.1226203,1.05160170547295,0.826945125503066,1.33729084657325,0.681565998448365,0.957210457906258
"Vascular_endothelial_cells_tumor_contact",77,60,0.05199061,0.1278322,1.05336585339724,0.819914010203315,1.35328779273835,0.684221019243691,0.957210457906258
"Dendritic_cells_prop",77,60,-0.05910471,0.1457848,0.942608062203765,0.708335279841416,1.25436355383916,0.685165669531948,0.957210457906258
"Non-leukocyte_derived_neural_cells_prop",77,60,0.05150607,0.1271438,1.05285558153529,0.820623198350115,1.35080860228992,0.685403349481955,0.957210457906258
"Monocytes_assort",77,60,0.05274829,0.132684,1.05416427236408,0.812769661674482,1.36725368272167,0.690963158097093,0.957210457906258
"Lymphatic_endothelial_cells_M1_med_dist",30,27,0.07604958,0.192177,1.07901607248779,0.740366160487944,1.57256739546234,0.692306600624271,0.957210457906258
"CD11c_low_immune_M1_contact",77,60,0.04843446,0.125754,1.04962657800664,0.820337960030383,1.34300252693064,0.700124503439603,0.957210457906258
"Dendritic_cells_assort",77,60,-0.05225401,0.137336,0.949087760237263,0.725113118499762,1.24224421493828,0.703586929765329,0.957210457906258
"HLADR+_prop",77,60,0.04956136,0.1312107,1.05081006373045,0.812526439385762,1.3589733656814,0.705635986671066,0.957210457906258
"M2_macrophages_tumor_med_dist",36,27,-0.06968241,0.1875713,0.93268998178668,0.645767708739306,1.34709523308855,0.710266453243316,0.957210457906258
"M2_macrophages_tumor_contact",77,60,-0.06568028,0.1776245,0.936430214033858,0.661121342397012,1.32638517246491,0.711553576894233,0.957210457906258
"Neutrophils_assort",77,60,0.05427771,0.1480684,1.05577775944471,0.789835193034196,1.4112648906616,0.713938356781783,0.957210457906258
"Non-leukocyte_derived_neural_cells_assort",77,60,-0.04736578,0.1302253,0.953738476235852,0.738892553645088,1.23105460538935,0.716065862689213,0.957210457906258
"Fibroblast_prop",77,60,0.04533383,0.124894,1.04637710982025,0.819178037553215,1.33658985685961,0.716620918135098,0.957210457906258
"NK/NKT_assort",77,60,0.04651565,0.1339046,1.04761447015953,0.805789616395034,1.36201318031081,0.728306651726711,0.957210457906258
"CD11b_low_Neutrophils_tumor_med_dist",71,55,0.04384492,0.1264217,1.04482031143638,0.815513641791511,1.33860358337095,0.728730511854996,0.957210457906258
"Monocytes_vascular_contact",77,60,-0.04002679,0.1161638,0.960763697483803,0.765134448995099,1.20641134850884,0.730416221695734,0.957210457906258
"B_cells_assort",77,60,-0.04757083,0.1394804,0.953542926944218,0.725461453982846,1.25333208061368,0.733060252399843,0.957210457906258
"M1_macrophages_vascular_contact",77,60,0.040567,0.1209487,1.04140108589116,0.821611186959803,1.31998716535045,0.7373182207308,0.957210457906258
"CD11c+_epithelial_assort",77,60,-0.04257788,0.1286501,0.958315833204154,0.744734505142897,1.2331498404167,0.740675702479197,0.957210457906258
"Neuroepithelial_cells_region",77,60,0.04769943,0.1448541,1.04885534882362,0.789615368035525,1.39320685398111,0.74193425854697,0.957210457906258
"Monocytes_tumor_contact",77,60,-0.03503909,0.1075968,0.965567666774297,0.781980873233584,1.19225540039707,0.744687851003372,0.957210457906258
"CD4+_T_cells_tumor_contact",77,60,0.03728865,0.1178227,1.03799259155099,0.823954732124745,1.30763084197158,0.751637524043962,0.957210457906258
"Neutrophils_vascular_med_dist",55,41,0.04802954,0.1535533,1.04920164859046,0.776522711490783,1.41763284333506,0.754442167570436,0.957210457906258
"Neutrophils_vascular_contact",77,60,-0.04229941,0.135673,0.958582730140639,0.734758373905752,1.2505891503344,0.755211734703751,0.957210457906258
"M1_macrophages_region",77,60,-0.04145401,0.1354646,0.959393457906823,0.735680241033083,1.25113569148178,0.759594264889633,0.957210457906258
"CD56+CD45-_vascular_med_dist",41,32,-0.05693784,0.1987044,0.944652787123359,0.639933290321921,1.3944717390324,0.774460413829583,0.957210457906258
"Dendritic_cells_region",77,60,0.03804899,0.1342618,1.03878211730285,0.798436994045798,1.35147581496743,0.776874770789305,0.957210457906258
"Neuroepithelial_cells_M1_med_dist",51,41,-0.04250807,0.1560964,0.958382734413884,0.705780170236869,1.30139313111386,0.785376546899709,0.957210457906258
"M1_macrophages_assort",77,60,-0.03991857,0.1528084,0.960867678371108,0.712185027618202,1.2963859945582,0.793912960221675,0.957210457906258
"Tumor_region",77,60,-0.03573326,0.1413484,0.964897638069704,0.731417404242393,1.2729085287721,0.800420640017447,0.957210457906258
"Neutrophils_region",77,60,-0.03610923,0.1438536,0.964534935315185,0.727561291334626,1.27869315276091,0.80180346176983,0.957210457906258
"Lymphatic_endothelial_cells_tumor_med_dist",30,27,-0.04761329,0.1955289,0.953502444054502,0.649961038203138,1.39880217025218,0.807610131662767,0.957210457906258
"CD8+_T_cells_M1_contact",77,60,-0.02998964,0.1275107,0.970455584993563,0.755854815672629,1.24598537036126,0.814058784178823,0.957210457906258
"CD56+CD45-_tumor_med_dist",41,32,0.04477337,0.1932373,1.04579082760941,0.716078942327865,1.52731548222405,0.816769908513501,0.957210457906258
"Vascular_endothelial_cells_region",77,60,-0.02992005,0.1302897,0.970523125382748,0.751801344066028,1.25287769746255,0.818369598007034,0.957210457906258
"Fibroblast_vascular_med_dist",74,57,-0.02842956,0.1249604,0.971970761447298,0.7608283639541,1.24170865055372,0.820028378380692,0.957210457906258
"Lymphatic_endothelial_cells_tumor_contact",77,60,0.03651393,0.1611169,1.03718875020382,0.756336128077697,1.42233124085121,0.820711434228291,0.957210457906258
"Unidentified_region",77,60,-0.02798496,0.1238164,0.972402992331305,0.762875273914456,1.23947860394399,0.821186073957558,0.957210457906258
"HLADR+_vascular_contact",77,60,-0.02891065,0.1298351,0.971503262894416,0.753231378211601,1.2530261180242,0.823790769277134,0.957210457906258
"NK/NKT_M1_contact",77,60,-0.02697202,0.122556,0.973388476651696,0.765537324603145,1.23767332568596,0.825809472855553,0.957210457906258
"Lymphatic_endothelial_cells_vascular_contact",77,60,0.03135845,0.1433571,1.03185530558174,0.779099594492902,1.36661009604324,0.826849830051376,0.957210457906258
"CD11b_low_Neutrophils_region",77,60,-0.03022233,0.138241,0.970229799632322,0.739952171454177,1.27217122999263,0.82694562523547,0.957210457906258
"Non-leukocyte_derived_neural_cells_region",77,60,0.02598486,0.1201856,1.02632540474076,0.810929201171929,1.29893440129425,0.828827082955265,0.957210457906258
"Tumor_M1_med_dist",76,60,-0.02888461,0.1343472,0.97152856202494,0.74661897918368,1.26418932969294,0.829767540206498,0.957210457906258
"Unidentified_M1_contact",77,60,0.02503551,0.1245739,1.02535152998201,0.803221499294816,1.30891137869128,0.84072264823558,0.957210457906258
"CD163+_cells_vascular_med_dist",75,58,0.0245191,0.1246377,1.02482216273981,0.802706342981047,1.30839935977372,0.844044355242309,0.957210457906258
"CD56+CD45-_M1_med_dist",40,32,-0.037534,0.1916003,0.963161665138182,0.661620080885172,1.40213457842849,0.844690493022015,0.957210457906258
"CD11c_low_immune_tumor_med_dist",43,33,0.03077278,0.1588802,1.03125115478936,0.755310242622637,1.40800281029119,0.846422210463404,0.957210457906258
"Dendritic_cells_tumor_med_dist",29,24,-0.03558823,0.195536,0.965037585602548,0.657814906780614,1.41574405205169,0.855579982795554,0.959507858263607
"DUSP1",77,60,-0.02342557,0.1303131,0.976846673966274,0.756665054818916,1.261098842033,0.857338040022575,0.959507858263607
"CD11c_low_immune_assort",77,60,-0.02232853,0.13398,0.977918902166333,0.752071077984297,1.27158909205411,0.867640907711632,0.96350080897612
"CD163+_cells_vascular_contact",77,60,0.01811472,0.1190705,1.01827978815544,0.806332378285458,1.28593834861337,0.879080954044245,0.96350080897612
"Fibroblast_M1_contact",77,60,0.01904054,0.1261729,1.01922296997181,0.795922299426256,1.30517195367812,0.880047980740897,0.96350080897612
"B_cells_region",77,60,-0.01953332,0.1320771,0.980656221543034,0.756994178989994,1.27040161145516,0.882426996680609,0.96350080897612
"CD163+_cells_M1_contact",77,60,-0.01997516,0.1359758,0.980223019560362,0.750900030697398,1.27958067491841,0.883209074894777,0.96350080897612
"CD11b_low_Neutrophils_vascular_med_dist",70,54,0.01598595,0.1328489,1.01611440812703,0.783179768344997,1.31832885901174,0.90422026963803,0.978376372740531
"CD11b+_epithelial_tumor_med_dist",58,43,0.01953956,0.1732019,1.01973171034322,0.726199916321982,1.43190977815874,0.910178184789271,0.978376372740531
"CD11c_low_immune_M1_med_dist",43,33,0.0178165,0.1648003,1.01797616101338,0.736986231575957,1.40609881160954,0.913908702651272,0.978376372740531
"Unidentified_vascular_contact",77,60,0.01524478,0.1427674,1.01536157669507,0.767532672060121,1.34321204680644,0.914963089322163,0.978376372740531
"Tumor_vascular_med_dist",76,59,-0.01018724,0.1251179,0.989864471554683,0.774595934912528,1.26495844850629,0.935107017881148,0.991083497647358
"Neutrophils_M1_med_dist",55,42,0.01117128,0.1471513,1.01123391428476,0.757872577141892,1.34929546237984,0.939485156248056,0.991083497647358
"CD11b+_epithelial_M1_med_dist",58,43,-0.01205557,0.1618173,0.988016810920224,0.719490784165271,1.35676125413267,0.940611652859761,0.991083497647358
"M2_macrophages_vascular_contact",77,60,0.007532944,0.1481302,1.00756138836248,0.75367286294057,1.3469769196121,0.95944222559133,0.998460640934373
"Non-leukocyte_derived_neural_cells_tumor_med_dist",33,27,0.008601592,0.2133876,1.00863869160639,0.663895613204281,1.5323975486074,0.967846209808706,0.998460640934373
"Tumor_prop",77,60,0.004725781,0.1321656,1.00473696475658,0.7754481929051,1.30182309738363,0.971476518072318,0.998460640934373
"CD8+_T_cells_vascular_med_dist",70,53,0.004494211,0.1291044,1.00450432535773,0.779934225147038,1.29373594224841,0.972230700721311,0.998460640934373
"CD56+CD45-_vascular_contact",77,60,0.00628684,0.182715,1.00630664353452,0.703401158798506,1.43965224986471,0.972551876828616,0.998460640934373
"Non-leukocyte_derived_neural_cells_M1_med_dist",33,27,0.004720823,0.2129882,1.00473198370012,0.66184203197526,1.52526782872519,0.982316562692825,0.998460640934373
"Neuroepithelial_cells_vascular_med_dist",51,41,0.002015261,0.1515874,1.00201729335745,0.744464077427387,1.34867307453841,0.989392930813042,0.998460640934373
"CD11b_low_Neutrophils_assort",77,60,0.001833898,0.1482126,1.0018355803484,0.749268819243904,1.33953863323025,0.990127685692924,0.998460640934373
"NK/NKT_tumor_contact",77,60,0.001485805,0.1221298,1.00148690959886,0.788293986690761,1.27233753781168,0.990293344088599,0.998460640934373
"CD8+_T_cells_assort",77,60,0.001071397,0.1387312,1.00107197137858,0.762740925843279,1.31387350268617,0.993838137967084,0.998460640934373
"CD11c+_epithelial_region",77,60,0.0001870025,0.1212956,1.00018701994358,0.788558966525991,1.26861036058062,0.998769895529021,0.998769895529021
