"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","NA's"
"Monocytes_vascular_med_dist",0.0144752092352092,0.047714516202966,0.0644689751817748,0.0746815535917362,0.0925481957003737,0.285355345412722,0
"NK/NKT_assort",0.0103239055796777,0.0441541042132054,0.0643105289464775,0.0748057167037794,0.0958799256056674,0.416957787174173,0
"Neutrophils_assort",0.00717948717948718,0.045174785641532,0.0631975096664029,0.0696855160623308,0.0865910031707531,0.377265281646641,0
"Monocytes_M1_med_dist",0.00644444444444444,0.0460483233467145,0.0628324024603492,0.0684540473636624,0.0850449336401439,0.211026284993817,0
"HLADR+_tumor_contact",0.00601307189542484,0.0449152161670384,0.0613917936332397,0.0682674871845005,0.0828015628210042,0.264683570080841,0
"NK/NKT_M1_contact",0.00603571428571428,0.0426921879771415,0.0607247308599565,0.0662961100570412,0.0803075224778919,0.254881887221886,0
"Monocytes_assort",0.0133703703703704,0.045251646077276,0.0603821224265374,0.0648471077867414,0.0797349419351774,0.277044980242473,0
"Neuroepithelial cells_prop",0.00342857142857143,0.0410035054318539,0.0596988037037873,0.0670982115219512,0.0839067388836352,0.270877434150782,0
"Monocytes_tumor_med_dist",0.00657416267942584,0.041459996699605,0.0594187073075762,0.0647362917401925,0.0809062471179413,0.251003219000591,0
"Non-leukocyte derived neural cells_tumor_med_dist",0.00648484848484849,0.0423235745645134,0.0572779036378182,0.0644822753750737,0.0793616706303255,0.247014057949583,0
"Neuroepithelial cells_vascular_contact",0.0064,0.0400753872471614,0.0570518848622029,0.0640994300926143,0.0766664835106311,0.302798617311479,0
"Monocytes_vascular_contact",0.0108166666666667,0.0409321034579015,0.0560325426431177,0.0614591090898012,0.0756910239630582,0.229654837556628,0
"Neuroepithelial cells_assort",0.002,0.0409267465426847,0.0554434225502547,0.0619903714592386,0.0772403743847889,0.198211380149013,0
"CD56+CD45-_tumor_contact",0.00387878787878788,0.038532138613021,0.0554154097811616,0.0589257001059392,0.0741158833545046,0.210966112294965,0
"HLADR+_region",0.00369230769230769,0.0404898470401243,0.055190513959548,0.0660153677681491,0.0795611851353294,0.365463969833769,0
"CD56+CD45-_assort",0.0032,0.0381110843293125,0.0545428588866921,0.0610327608486685,0.0776271487171515,0.240531418684683,0
"Non-leukocyte derived neural cells_M1_med_dist",0.0035,0.0382617845181857,0.0540275366525906,0.060396376765213,0.0755825601070616,0.327133015541397,0
"CD11b_low Neutrophils_region",0.003,0.0375145146422979,0.0533448161920136,0.056546365811618,0.0720001913058811,0.199826312996113,0
"CD11c_low immune_M1_contact",0.00536507936507937,0.0368709163385634,0.0530887503642778,0.0594291873793909,0.0755471669373424,0.281957212027281,0
"CD11c_low immune_prop",0,0.032939190821256,0.0530883851787711,0.0654274624272283,0.087838689771952,0.287918541164511,0
"M2 macrophages_vascular_contact",0.00650882352941176,0.0375997998895802,0.0529587257986981,0.056974219563507,0.070189723701528,0.198491961109574,0
"Lymphatic endothelial cells_tumor_contact",0.00385185185185185,0.0351687093586979,0.0528814866151268,0.0582705274912629,0.0747150188350195,0.240595024623838,0
"M2 macrophages_M1_med_dist",0.00566666666666667,0.038182042636811,0.0528484997101554,0.0552408077419445,0.0696878870971143,0.172788557375381,0
"Monocytes_prop",0.00733333333333333,0.0363164465827578,0.0526495878914593,0.0572644235135338,0.0719557714828088,0.207788223237747,0
"HLADR+_prop",0.00386206896551724,0.0361357429385832,0.0510700820804798,0.0543856285994428,0.0671641730132742,0.244209053778666,0
"M2 macrophages_prop",0,0.0313683219193088,0.0507215850939532,0.062008459776662,0.0840691764306507,0.319626417412129,0
"CD56+CD45-_tumor_med_dist",0.00575,0.0387952120531687,0.0506432962456063,0.0577377255936931,0.0702514215696682,0.230772310127151,0
"M2 macrophages_vascular_med_dist",0,0.0367315671787421,0.0501200423231611,0.0549213031332202,0.0680083349458553,0.205035973236649,0
"CD11c_low immune_vascular_med_dist",0.00366666666666667,0.0337559029135116,0.0498771672131552,0.057821114015832,0.0711416986007998,0.233178648199993,0
"CD11c+ epithelial_region",0.006,0.0320628296883715,0.0481125040396854,0.0503638729894329,0.0651006398398844,0.179513446899736,0
"CD56+CD45-_vascular_contact",0.00893803921568628,0.0328878061754922,0.0480410338681337,0.0510202690921357,0.0641397404612361,0.166979374424584,0
"Lymphatic endothelial cells_tumor_med_dist",0.00341052631578948,0.032945236626915,0.0472847366909981,0.0532864039432329,0.0642919746520701,0.32681645253635,0
"Lymphatic endothelial cells_region",0,0.0260228571428571,0.0457214597343908,0.0564128473586707,0.076073562539158,0.268384361822194,0
"Neuroepithelial cells_region",0.00455555555555556,0.0292975117694982,0.0453648275366978,0.049594037798181,0.0620229508160286,0.175112291229094,0
"Lymphatic endothelial cells_prop",0,0.0286473650211233,0.0452477618881668,0.058842691796372,0.0743874128496287,0.352373587509921,0
"Non-leukocyte derived neural cells_M1_contact",0.002,0.0293913748129265,0.0446487888868114,0.0508095688291505,0.0647211111472715,0.183171535267548,0
"Non-leukocyte derived neural cells_vascular_contact",0.00266666666666667,0.0289282844710975,0.0443459245968458,0.0518375116564915,0.0646332627547191,0.259289239083601,0
"CD56+CD45-_M1_contact",0,0.0303269785769786,0.0442793164919763,0.0510447920981268,0.0644829128680302,0.248557546759983,0
"M2 macrophages_M1_contact",0.00300666666666667,0.0310587911483191,0.0436365693592554,0.0464109072800302,0.0584060746827736,0.174449590575315,0
"Other immune_region",0.00366666666666667,0.0294168896829321,0.0435406454733315,0.0492709029304819,0.0626608468751589,0.173040326339029,0
"Dendritic cells_vascular_contact",0.00333333333333333,0.0312229459629649,0.0431919405343595,0.0480025321058998,0.0605304150528557,0.215340696191033,0
"Dendritic cells_M1_med_dist",0.00333333333333333,0.0283013219084501,0.0427578072485423,0.0453859809146173,0.0583965254140828,0.122140499446375,0
"Dendritic cells_tumor_contact",0,0.0280915398345626,0.042367670641781,0.0495713497320455,0.063167442597274,0.35282382151956,0
"Lymphatic endothelial cells_vascular_med_dist",0,0.0282762704597102,0.0423404460649135,0.0487852434253027,0.0629739360740155,0.254223190561354,0
"CD11c_low immune_M1_med_dist",0.002,0.0284580655773162,0.042249962327672,0.046616865059567,0.0583360853057826,0.163536486738307,0
"Non-leukocyte derived neural cells_prop",0,0.0229352223863093,0.0414490048557993,0.0517545069113816,0.0690655266229421,0.264855707360039,0
"Dendritic cells_prop",0,0.0244147419210789,0.0409483232197995,0.047629320938547,0.0609678500530193,0.226485790904232,0
"Non-leukocyte derived neural cells_vascular_med_dist",0.000840000000000003,0.0280505288591863,0.0406083371893541,0.0442972858250289,0.0571319430573124,0.16171511876299,0
"Lymphatic endothelial cells_M1_med_dist",0,0.0275670062422878,0.0401688865204382,0.0430545204108783,0.0549089159693649,0.15668514649095,0
"M2 macrophages_assort",0,0.0239792566898285,0.0400224390993306,0.0451523658110066,0.0573555199311746,0.201298379617682,0
"CD56+CD45-_prop",0,0.0259709256429845,0.0399474477188108,0.0457599396761868,0.0588685961213507,0.230587040081245,0
"CD56+CD45-_region",0,0.023187917037917,0.0395864437698325,0.0441159719465745,0.0562918962575819,0.228777843418071,0
"Lymphatic endothelial cells_M1_contact",0,0.0264517118346774,0.0394488280860779,0.0445358902662662,0.0570958792710325,0.170673569984501,0
