"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","NA's"
"CD4+ T cells_vascular_contact",0.0293280436510571,0.065027030994121,0.0852213999980607,0.091983505551088,0.111817091123294,0.237523788083656,0
"Neuroepithelial cells_prop",0.0152,0.0624410397594899,0.0846145482178064,0.0936413025425472,0.115085419519877,0.446013685405264,0
"Monocytes_M1_contact",0.0166168091168091,0.0611426828746932,0.0842348006475704,0.093148322592603,0.114874467253673,0.309298608477951,0
"Unidentified_vascular_contact",0.0219902610911739,0.061500421909897,0.0829138171919575,0.085679483065605,0.104867841416712,0.281476816435565,0
"HLADR+_vascular_med_dist",0.0201728827998851,0.0605145459013367,0.082507417027417,0.089782032215284,0.110111476106895,0.255039471130507,0
"M2 macrophages_tumor_med_dist",0.00382608695652174,0.0558822749256,0.0822013227839999,0.0908083948956985,0.115033823826942,0.324484305842438,0
"Vascular endothelial cells_tumor_contact",0.010340350877193,0.0633597843955037,0.0821105230590989,0.0879490463217711,0.106907473164233,0.324742286998006,0
"CD8+ T cells_tumor_contact",0.0103161904761905,0.0618233863044965,0.0815555604391566,0.0860300349514115,0.104203249846071,0.321862587953828,0
"CD11c_low immune_vascular_contact",0.0101785714285714,0.0580306642656162,0.0812075193678085,0.100543098626387,0.123473614148842,0.438580410850089,0
"B cells_tumor_contact",0.0201295727545728,0.0594492223756222,0.0811025874069111,0.0872918748959676,0.101950893912254,0.361931868954114,0
"M2 macrophages_M1_contact",0.00904761904761905,0.0572170740285948,0.0806426350942672,0.0916290420928436,0.110345522038629,0.317041643932654,0
"HLADR+_M1_contact",0.00808388662811452,0.0585292624247327,0.0805747010479811,0.0911614363385759,0.113118038394511,0.310081492406356,0
"Neuroepithelial cells_M1_contact",0.013281494057725,0.0620133809858314,0.0804157807934947,0.0849539349145698,0.102352653255657,0.289371694977866,0
"HLADR+_tumor_contact",0.0170356676003735,0.059009148859374,0.0792143843720976,0.089597311490854,0.104727245957907,0.362519656878309,0
"Non-leukocyte derived neural cells_M1_contact",0.0032,0.0538970528057088,0.0789007211637271,0.0922642154632907,0.113146124173227,0.473136043449388,0
"Other immune_M1_med_dist",0.017681068524971,0.0580026218105939,0.0787892887744116,0.0844754058542953,0.102886014691498,0.247290110398515,0
"Tumor_vascular_contact",0.0183931899641577,0.0590745655441682,0.0784292600501901,0.0835580936018863,0.100685375131699,0.24967643568188,0
"HLADR+_vascular_contact",0.00634640522875817,0.0576480568081346,0.0781586157760147,0.0830088186876862,0.102417157866331,0.30559682738917,0
"CD11c_low immune_tumor_contact",0.0119220512820513,0.0528979436913542,0.0775224672272372,0.0846793692415023,0.10576348358096,0.310181379249379,0
"Non-leukocyte derived neural cells_tumor_med_dist",0.0127619047619048,0.0548785747538516,0.0773394810589175,0.0845016374669049,0.10533951402231,0.252200147965159,0
"CBX2",0.00737077737077737,0.0549789921272804,0.077102632856567,0.0894075879671668,0.110532978047823,0.361012157546912,0
"CD8+ T cells_M1_contact",0.017148717948718,0.0581584983566369,0.0767655080143025,0.0826797955877007,0.101831515970935,0.197813275109914,0
"Non-leukocyte derived neural cells_M1_med_dist",0.0147892976588629,0.0507540494722252,0.076452591041287,0.0901617377505992,0.113254528971846,0.3573671420961,0
"Neuroepithelial cells_vascular_contact",0.0137380952380952,0.0541697208673679,0.0760678221774078,0.0840435341965566,0.1059779769873,0.280629931674683,0
"Fibroblast_tumor_contact",0.0146158008658009,0.0585354174928022,0.0760470286716094,0.0792372107134316,0.0961895304312908,0.225940410432666,0
"CD11b+ epithelial_tumor_contact",0.0158559135211767,0.0561888693212268,0.0754910403625996,0.0793636603427308,0.098866043866854,0.190591948567243,0
"CD56+CD45-_tumor_contact",0.0147226237530585,0.0523250702830156,0.0752834498281131,0.0817488879074005,0.101917733633017,0.35397016152001,0
"Monocytes_tumor_med_dist",0.0140814715719064,0.055123806296829,0.0750387200438342,0.0852428736819276,0.10333621571536,0.550691746391037,0
"CD8+ T cells_region",0.00949206349206349,0.053298209192199,0.0743647059603566,0.0824897529880954,0.104093853273373,0.240647494718258,0
"NK/NKT_M1_contact",0.00377777777777778,0.0531478180246264,0.0736628525524484,0.0782058644286614,0.0950806912857478,0.266152911160105,0
"HLADR+_prop",0.00829635199108884,0.0539844829769096,0.0734595523550126,0.0778400334093475,0.0940103809995779,0.259833381947857,0
"CD56+CD45-_vascular_med_dist",0.00948550724637682,0.0522226998289404,0.0729824105155832,0.0834354067873617,0.10191914379325,0.277447954571902,0
"Monocytes_vascular_med_dist",0.0155105551311434,0.0513210367728556,0.0729367137408929,0.0835755842175631,0.101237983724455,0.331003055860656,0
"Monocytes_assort",0.00864444444444445,0.0504924877938988,0.0694958950321008,0.0747739986401889,0.0935822624546021,0.245041923149371,0
"Lymphatic endothelial cells_vascular_contact",0.0114039970094318,0.0477588565942617,0.0687870976903929,0.0782446867360418,0.0979329984733561,0.275363730147769,0
"Neuroepithelial cells_assort",0.0121923076923077,0.0495371978825763,0.0685247278206596,0.0743273393335392,0.0915446512820075,0.430184877919704,0
"CD11c+ epithelial_region",0.00541052631578948,0.0473287788830163,0.0668595205482356,0.0728845482835039,0.0923263051974187,0.268120948667024,0
"Dendritic cells_tumor_med_dist",0.00384,0.0462607289663372,0.0656433622753631,0.0707046387944583,0.0877530433145441,0.221241762017044,0
"CD11b+ epithelial_region",0.0106036866359447,0.0444099757084107,0.0633259993750211,0.0672122295465562,0.0827960017513442,0.253902759892923,0
"CD11c_low immune_tumor_med_dist",0,0.0436372600683079,0.0615491677187092,0.0686334722881488,0.0849975247972091,0.304282643976706,0
"M2 macrophages_M1_med_dist",0.00969275362318841,0.0441116497324791,0.0614552474315953,0.0681237351637887,0.0857179437435224,0.238708738806489,0
"Monocytes_prop",0.00677671957671958,0.0457003283563241,0.0611411061349744,0.066356572235377,0.0823061575451717,0.190683543687346,0
"CD56+CD45-_M1_med_dist",0.00759540229885057,0.0432398591267002,0.0603796313667044,0.0666897156762249,0.0800705365921632,0.294006401208878,0
"Dendritic cells_vascular_contact",0.00700653594771243,0.0433578726080981,0.060056646479443,0.0624139448745916,0.0784382744352118,0.173458520152342,0
"HLADR+_region",0.0127490196078431,0.042238057195423,0.0594872763315076,0.0684074684742042,0.0874683307180236,0.377592764975874,0
"CD11c_low immune_prop",0.003,0.0400867014958476,0.0592131044082769,0.0665934681802863,0.0829770498607125,0.277665406256378,0
"M2 macrophages_vascular_contact",0.0090952380952381,0.0427184754739878,0.0566736816452149,0.0622497489869335,0.078405285618066,0.201664791397067,0
"CD56+CD45-_tumor_med_dist",0.00993881422924901,0.04168709942076,0.0566036288236817,0.061039783561446,0.0749016554350085,0.215721898194463,0
"CD56+CD45-_M1_contact",0.00371428571428572,0.0408933806304894,0.0559687729243667,0.0627884760443358,0.0774404399603747,0.23278505142673,0
"Neutrophils_assort",0.00748821548821549,0.0411864364067048,0.0557636576682926,0.0608621316220575,0.0749677394320331,0.21187677117072,0
