"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","NA's"
"CD8+ T cells_tumor_contact",0.0626238028893202,0.243600451028843,0.326533725344538,0.358883498876756,0.445793526007113,1.09738448617248,0
"CD163+ cells_tumor_contact",0.0488100238137996,0.193049249301481,0.268218958662919,0.288538066579538,0.352873423045122,0.955257945562733,0
"Monocytes_tumor_med_dist",0.0627101040160297,0.185265111118079,0.260179140511247,0.287374221740243,0.363834090418625,1.09025519024444,0
"CD11c+ epithelial_tumor_med_dist",0.0589926270954228,0.177927108517998,0.245833116227535,0.273760254164285,0.347012030524301,0.801462654101685,0
"NK/NKT_vascular_contact",0.036316925558102,0.171122070490557,0.244777239358972,0.275350739778891,0.346517033049026,0.91754492992833,0
"CD11b+ epithelial_M1_contact",0.0494640628721124,0.173773503500962,0.234539895987466,0.258451299420859,0.328575618689018,0.763825264660433,0
"Other immune_tumor_contact",0.0619303467929938,0.158440802865751,0.234367927551782,0.258349272083455,0.321988852438335,0.766728754299088,0
"CD11c+ epithelial_vascular_contact",0.0419158000472579,0.162037736451898,0.232692739956508,0.259997084507774,0.324415082981458,0.843569518166392,0
"CBX2",0.0331333459643804,0.152845007272536,0.218318003720642,0.246725708152318,0.312886749813561,1.0287968214177,0
"Unidentified_M1_contact",0.0702274152245164,0.168691152544317,0.215937068253902,0.232725975428822,0.281031921943529,0.686319043974762,0
"CD11b_low Neutrophils_vascular_contact",0.0304887984746846,0.151592597330685,0.212677249235917,0.239225043439205,0.300993310774019,0.851351049359148,0
"CD11b_low Neutrophils_M1_med_dist",0.0604054718040025,0.153962191258601,0.204745495301841,0.228449629753413,0.270470291270453,0.796444868604911,0
"Age",0.0482827689814505,0.15067380303277,0.202172397823037,0.223826100598263,0.27218593776371,0.801467503328431,0
"NK/NKT_tumor_med_dist",0.0458892289001434,0.13774753918157,0.195080765678117,0.207345220745595,0.262152976214842,0.544906643424486,0
"Monocytes_M1_med_dist",0.0318233211233211,0.138998697182077,0.191231425890303,0.209786994261199,0.262499349381312,0.712023931725199,0
"CD11c+ epithelial_M1_med_dist",0.04793335997336,0.141412366071626,0.190314569204826,0.202692839575423,0.240478041722447,0.653268791065689,0
"CD4+ T cells_vascular_contact",0.0501266278166278,0.134908336069801,0.187217768772954,0.206610650848046,0.25257092723198,0.855380032444003,0
"Neuroepithelial cells_M1_contact",0.0173905797101449,0.126036405349336,0.182256054615374,0.200173732701659,0.252020811167968,0.822720836300931,0
