"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","NA's"
"Dendritic cells_M1_med_dist",0.00949090909090909,0.0431048574686004,0.0594998470452121,0.0631461321539541,0.0798648435138808,0.21061276348568,0
"CD11b_low Neutrophils_region",0.00385185185185185,0.0444887804946201,0.0588430535232553,0.064071436762539,0.0783864239185032,0.188772194838191,0
"CD56+CD45-_assort",0.00338011695906433,0.0391934942824696,0.0581760280653633,0.0635597807723464,0.0810779776475623,0.273164748755535,0
"HLADR+_prop",0.00714687830687831,0.0422213209088768,0.0579281586874579,0.0619803218162118,0.0765878310047469,0.207554429696189,0
"M2 macrophages_vascular_med_dist",0.002,0.0405961663910557,0.0573560650611797,0.0593045036237344,0.0753052525307969,0.180779814265757,0
"CD11c_low immune_M1_contact",0.00362903225806452,0.0396831756243187,0.0570014870705458,0.0632576944200954,0.0805741565828044,0.31364062762139,0
"CD56+CD45-_tumor_med_dist",0.00466666666666667,0.0401194746503559,0.0569984780434913,0.0593241304747611,0.0747878481443324,0.175974693968076,0
"Monocytes_prop",0.0114912080961417,0.0380360908640872,0.0546029901298485,0.0594904620735906,0.0746381681677381,0.221009923010472,0
"Lymphatic endothelial cells_tumor_contact",0.00727719298245614,0.0373694893642353,0.0536570411378472,0.0588585637290831,0.074102922456365,0.177954281409946,0
"Neutrophils_assort",0.00965538461538461,0.0395943749251887,0.0533438582447097,0.0578706629142386,0.0705174031573148,0.216555490364522,0
"M2 macrophages_M1_contact",0,0.037710737847509,0.0519044529086325,0.0555607581339209,0.0704723520364987,0.252670185792607,0
"Dendritic cells_vascular_med_dist",0.00463768115942029,0.0371692149393011,0.0513788544459446,0.0567814394382181,0.0727080897241046,0.180021372338839,0
"Other immune_region",0.00749523809523809,0.0359631780309849,0.051168797616239,0.0559101467743661,0.0690083162236494,0.213452475743565,0
"CD11c_low immune_vascular_med_dist",0.002,0.0343100493971088,0.0509207597054656,0.0582135507493594,0.0729799902100874,0.32254758321838,0
"CD11c_low immune_prop",0.00384615384615385,0.0313367508387875,0.0499465424008795,0.0564951205214753,0.070517923423482,0.253696204384156,0
"CD56+CD45-_vascular_contact",0.0065,0.0358740321765362,0.049807206427964,0.0548037320045032,0.0675085135538696,0.217536002651801,0
"CD56+CD45-_M1_contact",0.0032,0.0331819567980067,0.0492813400993357,0.056841273471264,0.0710387925554083,0.29658064098559,0
"Non-leukocyte derived neural cells_vascular_med_dist",0.00373333333333333,0.0362422904043886,0.0491454121246018,0.0527729310538403,0.0659847231752541,0.14914500586073,0
